ID,Start time,Completion time,Email,Name,Which gender are you?,Which age bracket do you fall into?,What’s your employment status?,What’s your highest educational level?,What's your monthly income level?,Which digital marketing channels do you most frequently use to seek information about tech repair services? (Select all that apply),Have you heard of a tech repair company called GAMP?,Have you ever purchased or booked a service with GAMP Technology Limited directly through their digital marketing channels?,"If yes, what motivated you to purchase or book a service through their digital marketing channels?",How often do you encounter digital marketing content related to tech repair services from GAMP Technology Limited?,Which digital marketing channel do you find most informative or influential when seeking information about tech repair services?,How likely are you to engage with digital marketing content from GAMP Technology Limited on social media platforms?,Do you trust the digital marketing content from GAMP Technology Limited to provide accurate information about their tech repair services?,Have you ever been influenced by digital marketing campaigns to seek tech repair services from GAMP Technology Limited?,"On a scale of 1 to 5, how would you rate the influence of digital marketing campaigns on your decision to seek tech repair services from GAMP Technology Limited?
",How often do you click on digital advertisements from GAMP Technology Limited to learn more about their services?,Which aspect of GAMP Technology Limited's digital marketing campaigns appeals to you the most when considering their tech repair services? (Select all that apply),How likely are you to recommend GAMP Technology Limited to others based on the effectiveness of their digital marketing campaigns?,How do you perceive GAMP Technology Limited's digital marketing campaigns compared to their known competitors (such as Carlcare) or less-known repairers?,How did you become aware of GAMP Technology Limited? (Select all that apply),"On a scale of 1 to 5, how satisfied are you with the consistency of GAMP Technology Limited's digital marketing efforts?",How frequently do you engage with GAMP Technology Limited's digital marketing content?,What factors contribute to your continued engagement and loyalty to GAMP Technology Limited? (Select all that apply),How likely are you to switch to a known competitor (Carlcare) or less-known repairers if you find their digital marketing efforts more appealing than those of GAMP Technology Limited?,Are there any services that GAMP Technology Limited does not provide right now and should provide?,How else can GAMP Technology Limited improve on its digital marketing efforts to serve you better?
1,5/20/24 6:34:07,5/20/24 6:48:12,anonymous,,Male,25-34,Self-employed,Bachelor's degree,"?200,001 - ?500,000","WhatsApp/Telegram/Discord communities;Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",Yes,Clear and informative content,Rarely or Never,Constant Email Communication,Rarely,Agree,Yes,3,Rarely,Company credibility;Informative content;,Rarely,Superior,Through recommendations from friends or family;Through social media advertisements;,2 (Dissatisfied),Rarely,Reliability of service;Customer service experience;,Likely,Partnership with local gadget wholesalers to deliver insurance at point of sale.,"Retargeting and remarketing of services to familiar audiences, then the orientation and reorientation of services because insurance is still a budding concept in Nigeria."
2,5/20/24 8:05:54,5/20/24 8:10:30,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Search engines (Google, Bing, etc.);Email Communication;","Yes, I have",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,1,Rarely,Appealing visuals and designs;,Rarely,Not sure,Through recommendations from friends or family;,3 (Not sure),Rarely,Customer service experience;,Unlikely,Nil,Not really sure.
3,5/20/24 8:06:08,5/20/24 8:19:37,anonymous,,Female,25-34,Full-time,Bachelor's degree,"?200,001 - ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Expert (Tech/Gadget sales) platforms;","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Rarely,Strongly Agree,Yes,4,Frequently,Company credibility;,Often,Not sure,Through social media advertisements;Through recommendations from friends or family;,4 (Satisfied),Rarely,Reliability of service;Credibility of digital marketing campaigns;,Very likely,None.,Game technology limited can improve on its digital marketing efforts by engaging on more social media paid ads.
4,5/20/24 8:56:42,5/20/24 9:04:52,anonymous,,Female,25-34,Self-employed,Bachelor's degree,"?200,001 - ?500,000","Search engines (Google, Bing, etc.);Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,A few times a week,Social media platforms,Sometimes,Strongly Agree,Yes,3,Occasionally,Informative content;,Sometimes,Not sure,Through social media advertisements;Through recommendations from friends or family;,4 (Satisfied),Occasionally,Credibility of digital marketing campaigns;,Very unlikely,Not sure ,Reaching a wider audience on social media
5,5/20/24 9:57:49,5/20/24 10:04:17,anonymous,,Male,25-34,Full-time,Master's degree or higher,"Above ?500,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Advertising on Websites,Rarely,Neutral,No,1,Rarely,Company credibility;,Rarely,Not sure,Through recommendations from friends or family;,4 (Satisfied),Rarely,Customer service experience;Quality of service;Reliability of service;Credibility of digital marketing campaigns;,Very unlikely,None for now ,Targeted marketing campaigns 
6,5/20/24 10:09:14,5/20/24 10:13:56,anonymous,,Male,18-24,Part-time,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","No, I have not",No,None of the above,Rarely or Never,Search engines,Rarely,Neutral,No,3,Rarely,Promotional offers;,Rarely,Not sure,Through advertising on websites;,3 (Not sure),Rarely,Credibility of digital marketing campaigns;,Neutral,Not sure ,Not sure 
7,5/20/24 10:06:42,5/20/24 10:14:06,anonymous,,Female,18-24,Student,Bachelor's degree,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);","Yes, I have",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Neutral,No,4,Rarely,Informative content;,Often,Not sure,Through social media advertisements;,4 (Satisfied),Rarely,Credibility of digital marketing campaigns;Reliability of service;Discounts or promotions offered;,Neutral,Not sure,Not sure
8,5/20/24 10:10:29,5/20/24 10:14:17,anonymous,,Female,18-24,Part-time,Bachelor's degree,"?50,001 - ?100,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","Yes, I have",No,None of the above,A few times a week,Social media platforms,Sometimes,Neutral,Yes,3,Rarely,Company credibility;,Rarely,Not sure,Through social media advertisements;,4 (Satisfied),Rarely,Reliability of service;Customer service experience;Convenience of booking or purchasing process;Quality of service;Discounts or promotions offered;,Neutral,Gadget swap/sale,Post more customer reviews 
9,5/20/24 10:25:41,5/20/24 10:29:14,anonymous,,Female,25-34,Part-time,Master's degree or higher,"?100,001 - ?200,000","Social media platforms (Facebook, Instagram, Twitter, etc.);Search engines (Google, Bing, etc.);","No, I have not",No,None of the above,Rarely or Never,Social media platforms,Sometimes,Agree,Yes,3,Occasionally,Informative content;Appealing visuals and designs;Wide online reach;,Sometimes,Similar,Through social media advertisements;,3 (Not sure),Occasionally,Reliability of service;Quality of service;Customer service experience;Brand reputation;,Neutral,N/A,N/A
10,5/20/24 10:27:07,5/20/24 10:29:33,anonymous,,Female,25-34,Full-time,Master's degree or higher,"?200,001 - ?500,000","Search engines (Google, Bing, etc.);","Yes, I have",Yes,Appealing offers or discounts,A few times a week,Search engines,Often,Agree,Yes,4,Frequently,Company credibility;Informative content;Wide online reach;,Often,Superior,Through social media advertisements;Through search engine results;Through email communication;Through WhatsApp/Telegram/Discord communities;,4 (Satisfied),Frequently,Quality of service;Reliability of service;Credibility of digital marketing campaigns;,Unlikely,Technical Support and Training Services,Technical Support and Training Services
